Model,Cost (bps),CAGR (net) %,Sharpe (net),Max DD %
LinearRegression,0,-2.31,-0.047,18.93
LinearRegression,5,-10.16,-0.525,18.93
LinearRegression,10,-17.39,-0.998,18.93
LinearRegression,15,-24.05,-1.461,18.93
LinearRegression,25,-35.82,-2.339,18.93
Ridge,0,-2.31,-0.047,18.93
Ridge,5,-10.16,-0.525,18.93
Ridge,10,-17.39,-0.998,18.93
Ridge,15,-24.05,-1.461,18.93
Ridge,25,-35.82,-2.339,18.93
LogisticRegression,0,-1.87,-0.015,21.33
LogisticRegression,5,-10.05,-0.498,21.33
LogisticRegression,10,-17.56,-0.974,21.33
LogisticRegression,15,-24.46,-1.439,21.33
LogisticRegression,25,-36.6,-2.315,21.33
RandomForest,0,-2.77,-0.119,28.55
RandomForest,5,-9.52,-0.608,28.55
RandomForest,10,-15.8,-1.089,28.55
RandomForest,15,-21.66,-1.557,28.55
RandomForest,25,-32.21,-2.438,28.55
LightGBM,0,-3.67,-0.165,24.02
LightGBM,5,-10.21,-0.62,24.02
LightGBM,10,-16.32,-1.07,24.02
LightGBM,15,-22.02,-1.511,24.02
LightGBM,25,-32.3,-2.349,24.02
MLP,0,-3.25,-0.149,26.0
MLP,5,-9.39,-0.588,26.0
MLP,10,-15.15,-1.019,26.0
MLP,15,-20.55,-1.439,26.0
MLP,25,-30.36,-2.233,26.0
LSTM,0,-10.07,-0.638,25.95
LSTM,5,-16.18,-1.104,25.95
LSTM,10,-21.89,-1.56,25.95
LSTM,15,-27.21,-2.0,25.95
LSTM,25,-36.81,-2.824,25.95
MomentumBaseline,0,-3.52,-0.075,39.44
MomentumBaseline,5,-7.54,-0.283,39.44
MomentumBaseline,10,-11.4,-0.489,39.44
MomentumBaseline,15,-15.1,-0.693,39.44
MomentumBaseline,25,-22.05,-1.095,39.44
MeanReversionBaseline,0,-8.65,-0.343,44.77
MeanReversionBaseline,5,-12.45,-0.552,44.77
MeanReversionBaseline,10,-16.09,-0.761,44.77
MeanReversionBaseline,15,-19.59,-0.969,44.77
MeanReversionBaseline,25,-26.16,-1.379,44.77
BuyAndHold_SPY,0,14.86,0.765,33.72
BuyAndHold_SPY,5,14.86,0.765,33.72
BuyAndHold_SPY,10,14.86,0.765,33.72
BuyAndHold_SPY,15,14.86,0.765,33.72
BuyAndHold_SPY,25,14.86,0.765,33.72
EqualWeight,0,6.82,0.515,26.32
EqualWeight,5,6.82,0.515,26.32
EqualWeight,10,6.82,0.515,26.32
EqualWeight,15,6.82,0.515,26.32
EqualWeight,25,6.82,0.515,26.32
Ensemble,0,-3.62,-0.115,22.66
Ensemble,5,-11.32,-0.576,22.66
Ensemble,10,-18.41,-1.032,22.66
Ensemble,15,-24.95,-1.478,22.66
Ensemble,25,-36.52,-2.326,22.66
