Model,feature,importance,std
LightGBM,return_5d,0.005188495286388905,0.0034424217813683895
LightGBM,return_20d,0.003966285907569554,0.0010275327054480436
LightGBM,high_low_range,0.0029163689998321037,0.0002493222010920043
LightGBM,volatility_20d,0.0027886765477124027,0.0015944508479479541
LightGBM,momentum_10d,0.0008544126952297022,0.0009990672475652864
LightGBM,ma_ratio_10,2.2243504337295278e-05,6.722070930733343e-06
LightGBM,close_open_range,1.975517746669389e-06,5.935429110624776e-07
LightGBM,momentum_20d,0.0,0.0
LightGBM,return_1d,-2.1214273926839846e-06,0.0004365394873970898
LightGBM,volume_ratio_20d,-8.12294859917663e-06,4.7238615532890826e-06
RandomForest,volatility_20d,0.009798147105626757,0.001331875216721031
RandomForest,ma_ratio_10,0.0058303550367765425,0.0009915624800673796
RandomForest,rsi_14,0.005674533171111284,0.0009706995796266492
RandomForest,momentum_20d,0.004880428601898366,0.0006716700938362928
RandomForest,return_20d,0.0015603584333709127,0.0003003152049761398
RandomForest,high_low_range,0.001126647882363066,0.00024029361140890087
RandomForest,volume_ratio_20d,0.0005352813882966049,0.0004364953434702797
RandomForest,return_1d,0.0002379775048182608,0.000890182862913535
RandomForest,close_open_range,0.00012639423754453905,0.0003419717561089929
RandomForest,momentum_10d,8.027550167795418e-05,0.0007920973667247762
LinearRegression,return_5d,0.012856789556754265,0.002526807452359183
LinearRegression,high_low_range,0.001672218236915365,0.00033510877874840943
LinearRegression,ma_ratio_10,0.0013643152876570625,0.0016654869313429937
LinearRegression,return_1d,0.0007416541653376775,0.0019820462673026703
LinearRegression,return_20d,0.0005587300203023355,0.0002436024472626655
LinearRegression,momentum_20d,0.0005201436544062915,0.0002762880450666035
LinearRegression,rsi_14,0.000378306284161483,2.748377269418404e-05
LinearRegression,momentum_10d,0.0002402393191878951,0.001854409327396412
LinearRegression,volume_ratio_20d,-0.00045972898499893193,0.0005418332092122491
LinearRegression,ma_ratio_50,-0.0018416296221543428,0.00026392747202779566
